time,rainfall,humidity,temperature,windSpeed,FD_rainfall
2022/6/1 0:00,0,52.9,34,1.27,0
2022/6/1 0:05,0,69.6,27.8,0,0
2022/6/1 0:10,0,69.3,27.9,0,0
2022/6/1 0:15,0,51.9,33.3,0.63,0
2022/6/1 0:20,0,69.2,28,0,0
2022/6/1 0:25,0,69.7,27.9,0,0
2022/6/1 0:30,0,43.6,36.8,0.63,0
2022/6/1 0:35,0,43.1,36.7,0.47,0
2022/6/1 0:40,0,71.1,27.6,0,0
2022/6/1 0:45,0,42.1,36.6,0.95,0
2022/6/1 0:50,0,39.5,37.1,0.63,0
2022/6/1 0:55,0,72.5,27.2,0,0
2022/6/1 1:00,0,72.9,27.1,0,0
2022/6/1 1:05,0,72.9,27.1,0.63,0
2022/6/1 1:10,0,73.2,27.1,0.15,0
2022/6/1 1:15,0,73.5,27,0.95,0
2022/6/1 1:20,0,74.1,26.9,0.15,0
2022/6/1 1:25,0,74,27,0,0
2022/6/1 1:30,0,73.9,27,0,0
2022/6/1 1:35,0,74,27,0,0
2022/6/1 1:40,0,73.7,27,0,0
2022/6/1 1:45,0,73.6,27,0,0
2022/6/1 1:50,0,73.9,27.1,0,0
2022/6/1 1:55,0,74.2,27,0,0
2022/6/1 2:00,0,73.9,26.9,0,0
2022/6/1 2:05,0,73.5,26.9,0,0
2022/6/1 2:10,0,73.8,27,0,0
2022/6/1 2:15,0,73.6,26.9,0,0
2022/6/1 2:20,0,73.9,26.7,0,0
2022/6/1 2:25,0,74.2,26.7,0,0
2022/6/1 2:30,0,74.3,26.6,0,0
2022/6/1 2:35,0,74.8,26.5,0,0
2022/6/1 2:40,0,75.4,26.5,0,0
2022/6/1 2:45,0,75.5,26.5,0.15,0
2022/6/1 2:50,0,75.3,26.6,0,0
2022/6/1 2:55,0,74.6,26.8,0,0
2022/6/1 3:00,0,74.6,26.8,0,0
2022/6/1 3:05,0,74.6,26.7,0,0
2022/6/1 3:10,0,74.5,26.6,0,0
2022/6/1 3:15,0,74.6,26.6,0,0
2022/6/1 3:20,0,75,26.5,0,0
2022/6/1 3:25,0,74.5,26.6,0,0
2022/6/1 3:30,0,74.9,26.6,0,0
2022/6/1 3:35,0,74.9,26.5,0,0
2022/6/1 3:40,0,75.1,26.5,0,0
2022/6/1 3:45,0,74.8,26.5,0,0
2022/6/1 3:50,0,75.7,26.3,0,0
2022/6/1 3:55,0,75.9,26.3,0,0
2022/6/1 4:00,0,76.1,26.3,0,0
2022/6/1 4:05,0,77.1,26.3,0,0
2022/6/1 4:10,0,76.6,26.2,0,0
2022/6/1 4:15,0,76.5,26.2,0,0
2022/6/1 4:20,0,76.5,26.2,0,0
2022/6/1 4:25,0,77.8,26.2,0,0
2022/6/1 4:30,0,78,26.2,0,0
2022/6/1 4:35,0,78.1,26.2,0,0
2022/6/1 4:40,0,77.9,26.2,0,0
2022/6/1 4:45,0,77.7,26.2,0,0
2022/6/1 4:50,0,77.4,26.1,0,0
2022/6/1 4:55,0,77.5,26.1,0,0
2022/6/1 5:00,0,77.3,26,0,0
2022/6/1 5:05,0,77.5,26,0,0
2022/6/1 5:10,0,77.7,26,0,0
2022/6/1 5:15,0,78.3,25.9,0,0
2022/6/1 5:20,0,78.8,25.8,0,0
2022/6/1 5:25,0,78.3,26,0,0
2022/6/1 5:30,0,78.1,25.9,0,0
2022/6/1 5:35,0,78.5,25.8,0,0
2022/6/1 5:40,0,78.4,25.9,0,0
2022/6/1 5:45,0,78.4,26,0,0
2022/6/1 5:50,0,78.5,25.9,0,0
2022/6/1 5:55,0,78.6,26,0,0
2022/6/1 6:00,0,78.8,26,0,0
2022/6/1 6:05,0,79,26,0,0
2022/6/1 6:10,0,78.9,26.1,0,0
2022/6/1 6:15,0,79,26.2,0,0
2022/6/1 6:20,0,78.5,26.3,0,0
2022/6/1 6:25,0,78.2,26.5,0,0
2022/6/1 6:30,0,77.7,26.6,0,0
2022/6/1 6:35,0,77,26.7,0,0
2022/6/1 6:40,0,75.5,26.9,0,0
2022/6/1 6:45,0,75,27.1,0,0
